NIST-Beta,R-Beta,Julia-Beta,NIST-SE,R-SE,Julia-SE,NIST-RSD,R-RSD,Julia-RSD,NIST-RSquare,R-RSquare,Julia-RSquare
-1467.489614,-174.2804456,0,298.084531,87.56116222,NaN,3.35E-03,0.003768012,0.120216587,0.996727416,0.995796453,-3.57591891
-2772.179592,-326.8822099,0,559.7798655,148.0496182,NaN,,,,,,
-2316.371082,-266.0565405,0,466.4775721,109.5120845,NaN,,,,,,
-1127.973941,-123.9216144,0,227.2042745,46.52471472,NaN,,,,,,
-354.4782337,-36.38167095,0,71.64786609,12.51452005,NaN,,,,,,
-75.12420174,-6.979188381,0,15.28971787,2.211166099,NaN,,,,,,
-10.87531804,-0.874660179,0.00368644,2.236911598,0.256744908,0.000219028,,,,,,
-1.062214986,-0.069060097,0.001917311,0.221624322,0.018900563,0.000127438,,,,,,
-6.70E-02,-0.003118322,0.000375885,1.42E-02,0.000800879,2.75E-05,,,,,,
-2.47E-03,-6.14E-05,3.28E-05,5.36E-04,1.49E-05,2.62E-06,,,,,,
-4.03E-05,,1.07E-06,8.97E-06,,9.24E-08,,,,,,
